RTC End Time Stamp,Zone Name,Zone PTID,RTC Zonal LBMP,RTC Zonal Losses,RTC Zonal Congestion,RTC Zonal Price Version
3/1/2024 5:15,DUNWOD,61760,39.19,1.83,0,1
3/1/2024 5:15,GENESE,61753,35.42,-1.94,0,1
3/1/2024 5:15,HUD VL,61758,39.16,1.79,0,1
3/1/2024 5:15,LONGIL,61762,39.16,1.79,0,1
3/1/2024 5:15,MHK VL,61756,38.59,1.23,0,1
3/1/2024 5:15,MILLWD,61759,39.16,1.79,0,1
3/1/2024 5:15,N.Y.C.,61761,39.19,1.83,0,1
3/1/2024 5:15,NORTH,61755,37.96,0.6,0,1
3/1/2024 5:15,WEST,61752,34.97,-2.39,0,1
3/1/2024 5:30,CAPITL,61757,43.12,1.7,0,1
3/1/2024 5:30,CENTRL,61754,40.75,-0.66,0,1
3/1/2024 5:30,DUNWOD,61760,43.49,2.07,0,1
3/1/2024 5:30,GENESE,61753,39.14,-2.28,0,1
3/1/2024 5:30,HUD VL,61758,43.45,2.03,0,1
3/1/2024 5:30,LONGIL,61762,43.45,2.03,0,1
3/1/2024 5:30,MHK VL,61756,42.87,1.45,0,1
3/1/2024 5:30,MILLWD,61759,43.49,2.07,0,1
3/1/2024 5:30,N.Y.C.,61761,43.53,2.11,0,1
3/1/2024 5:30,NORTH,61755,42.08,0.66,0,1
3/1/2024 5:30,WEST,61752,38.6,-2.82,0,1
3/1/2024 5:45,CAPITL,61757,44.14,1.82,0,1
3/1/2024 5:45,CENTRL,61754,41.51,-0.81,0,1
3/1/2024 5:45,DUNWOD,61760,44.56,2.24,0,1
3/1/2024 5:45,GENESE,61753,39.86,-2.46,0,1
3/1/2024 5:45,HUD VL,61758,44.47,2.16,0,1
3/1/2024 5:45,LONGIL,61762,44.56,2.24,0,1
3/1/2024 5:45,MHK VL,61756,43.8,1.48,0,1
3/1/2024 5:45,MILLWD,61759,44.52,2.2,0,1
3/1/2024 5:45,N.Y.C.,61761,44.6,2.28,0,1
3/1/2024 5:45,NORTH,61755,42.95,0.64,0,1
3/1/2024 5:45,WEST,61752,39.19,-3.13,0,1
3/1/2024 6:00,CAPITL,61757,39.01,1.89,0,1
3/1/2024 6:00,CENTRL,61754,36.6,-0.52,0,1
3/1/2024 6:00,DUNWOD,61760,39.8,2.67,0,1
3/1/2024 6:00,GENESE,61753,34.86,-2.27,0,1
3/1/2024 6:00,HUD VL,61758,39.57,2.45,0,1
3/1/2024 6:00,LONGIL,61762,39.83,2.71,0,1
3/1/2024 6:00,MHK VL,61756,38.57,1.45,0,1
3/1/2024 6:00,MILLWD,61759,39.72,2.6,0,1
3/1/2024 6:00,N.Y.C.,61761,39.91,2.79,0,1
3/1/2024 6:00,NORTH,61755,37.2,0.07,0,1
3/1/2024 6:00,WEST,61752,34.15,-2.97,0,1
3/1/2024 6:15,CAPITL,61757,41.19,1.92,0,1
3/1/2024 6:15,CENTRL,61754,38.75,-0.51,0,1
3/1/2024 6:15,DUNWOD,61760,41.9,2.63,0,1
3/1/2024 6:15,GENESE,61753,36.59,-2.67,0,1
3/1/2024 6:15,HUD VL,61758,41.7,2.44,0,1
3/1/2024 6:15,LONGIL,61762,41.97,2.71,0,1
3/1/2024 6:15,MHK VL,61756,40.84,1.57,0,1
3/1/2024 6:15,MILLWD,61759,41.82,2.55,0,1
3/1/2024 6:15,N.Y.C.,61761,42.01,2.75,0,1
3/1/2024 6:15,NORTH,61755,39.58,0.31,0,1
3/1/2024 6:15,WEST,61752,35.69,-3.57,0,1
3/1/2024 6:30,CAPITL,61757,39.47,1.88,0,1
3/1/2024 6:30,CENTRL,61754,37.18,-0.41,0,1
3/1/2024 6:30,DUNWOD,61760,40.18,2.59,0,1
3/1/2024 6:30,GENESE,61753,35.15,-2.44,0,1
3/1/2024 6:30,HUD VL,61758,40,2.41,0,1
3/1/2024 6:30,LONGIL,61762,40.3,2.71,0,1
3/1/2024 6:30,MHK VL,61756,39.17,1.58,0,1
3/1/2024 6:30,MILLWD,61759,40.11,2.52,0,1
3/1/2024 6:30,N.Y.C.,61761,40.33,2.74,0,1
3/1/2024 6:30,NORTH,61755,37.93,0.34,0,1
3/1/2024 6:30,WEST,61752,34.36,-3.23,0,1
3/1/2024 6:45,CAPITL,61757,38.9,1.82,0,1
3/1/2024 6:45,CENTRL,61754,36.71,-0.37,0,1
3/1/2024 6:45,DUNWOD,61760,39.6,2.52,0,1
3/1/2024 6:45,GENESE,61753,34.93,-2.15,0,1
3/1/2024 6:45,HUD VL,61758,39.42,2.34,0,1
3/1/2024 6:45,LONGIL,61762,39.64,2.56,0,1
3/1/2024 6:45,MHK VL,61756,38.6,1.52,0,1
3/1/2024 6:45,MILLWD,61759,39.56,2.48,0,1
3/1/2024 6:45,N.Y.C.,61761,39.75,2.67,0,1
3/1/2024 6:45,NORTH,61755,37.45,0.37,0,1
3/1/2024 6:45,WEST,61752,34.26,-2.82,0,1
3/1/2024 7:00,CAPITL,61757,47.03,2.24,0,1
3/1/2024 7:00,CENTRL,61754,44.34,-0.45,0,1
3/1/2024 7:00,DUNWOD,61760,48.1,3.31,0,1
3/1/2024 7:00,GENESE,61753,42.1,-2.69,0,1
3/1/2024 7:00,HUD VL,61758,47.79,3,0,1
3/1/2024 7:00,LONGIL,61762,48.19,3.4,0,1
3/1/2024 7:00,MHK VL,61756,46.67,1.88,0,1
3/1/2024 7:00,MILLWD,61759,48.02,3.23,0,1
3/1/2024 7:00,N.Y.C.,61761,48.29,3.5,0,1
3/1/2024 7:00,NORTH,61755,45.19,0.4,0,1
3/1/2024 7:00,WEST,61752,41.16,-3.63,0,1
3/1/2024 7:15,CAPITL,61757,42.86,2,0,1
3/1/2024 7:15,CENTRL,61754,40.53,-0.33,0,1
3/1/2024 7:15,DUNWOD,61760,43.88,3.02,0,1
3/1/2024 7:15,GENESE,61753,38.49,-2.37,0,1
3/1/2024 7:15,HUD VL,61758,43.6,2.74,0,1
3/1/2024 7:15,LONGIL,61762,44,3.15,0,1
3/1/2024 7:15,MHK VL,61756,42.57,1.72,0,1
3/1/2024 7:15,MILLWD,61759,43.76,2.9,0,1
3/1/2024 7:15,N.Y.C.,61761,44.01,3.15,0,1
3/1/2024 7:15,NORTH,61755,41.15,0.29,0,1
3/1/2024 7:15,WEST,61752,37.71,-3.15,0,1
3/1/2024 7:30,CAPITL,61757,37.68,1.73,0,1
3/1/2024 7:30,CENTRL,61754,35.63,-0.32,0,1
3/1/2024 7:30,DUNWOD,61760,38.69,2.73,0,1
3/1/2024 7:30,GENESE,61753,33.94,-2.01,0,1
3/1/2024 7:30,HUD VL,61758,38.44,2.48,0,1
3/1/2024 7:30,LONGIL,61762,38.94,2.98,0,1
3/1/2024 7:30,MHK VL,61756,37.36,1.4,0,1
3/1/2024 7:30,MILLWD,61759,38.62,2.66,0,1
3/1/2024 7:30,N.Y.C.,61761,38.8,2.84,0,1
3/1/2024 7:30,NORTH,61755,36.06,0.11,0,1
3/1/2024 7:30,WEST,61752,33.37,-2.59,0,1
3/1/2024 7:45,CAPITL,61757,38.55,1.73,0,1
3/1/2024 7:45,CENTRL,61754,36.31,-0.52,0,1
3/1/2024 7:45,DUNWOD,61760,39.77,2.95,0,1
3/1/2024 7:45,GENESE,61753,34.61,-2.21,0,1
3/1/2024 7:45,HUD VL,61758,39.44,2.61,0,1
3/1/2024 7:45,LONGIL,61762,40.06,3.24,0,1
3/1/2024 7:45,MHK VL,61756,38.19,1.36,0,1
3/1/2024 7:45,MILLWD,61759,39.66,2.84,0,1
3/1/2024 7:45,N.Y.C.,61761,54.26,3.09,-14.34,1
3/1/2024 7:45,NORTH,61755,36.93,0.11,0,1
3/1/2024 7:45,WEST,61752,33.91,-2.91,0,1
3/1/2024 8:00,CAPITL,61757,37.54,1.48,0,1
